paper_id,real_time_transparency,explainability,accountability,human_oversight,privacy,data_protection,continuous_ethics_monitoring,total_score
framework_assessing_ai_ethics_cybersecurity,15,15,15,9,15,14,13,96
ai_hype_cybersecurity_moral_responsibility,14,13,15,0,14,13,0,69
ai_driven_solutions_cybersecurity_comparative,15,15,15,10,15,14,0,84
comprehensive_review_ai_cybersecurity,15,15,15,10,15,15,13,98
ai_ethics_education_cybersecurity,14,14,14,0,13,13,13,81
ai_ethics_and_cybersecurity_overview,14,14,15,9,14,14,13,93
challenges_of_ai_driven_cybersecurity,14,14,13,6,9,13,0,69
ethical_ai_cybersecurity_innovation_regulation,15,15,15,9,15,14,13,96
ethical_challenges_ai_cybersecurity,14,13,14,0,14,13,13,81
ethical_considerations_ai_cybersecurity_balancing,15,15,15,9,15,14,13,96
ethical_governance_is_essential,15,14,15,0,15,15,13,87
ethics_in_ai_introduction_special_issue,15,15,15,9,15,14,13,96
ethics_in_ai_cybersecurity_approach,15,15,15,9,15,14,13,96
ethics_of_ai_and_cybersecurity_sovereignty,15,14,15,0,15,14,13,86
explainable_ai_black_box_to_glass_box,15,15,14,0,0,0,0,44
practical_cybersecurity_ethics_mapping_cybok,15,15,15,9,15,14,13,96
securing_ai_frontier_ethics_regulation,15,15,15,9,15,14,13,96
securing_digital_world_ai_malware,14,15,13,0,9,14,0,65
securing_trust_ai_cybersecurity,15,15,15,10,15,15,13,98
double_edged_sword_ai_adversarial_attacks,14,13,15,0,14,13,0,69
ethics_of_ai_ethics_guidelines,15,14,15,0,15,14,13,86
intersection_ai_cybersecurity_challenges,15,14,15,9,15,14,13,95
legal_implications_data_privacy,15,15,15,0,15,15,0,75
ethics_of_algorithms_mapping_the_debate,14,15,15,0,15,14,13,86
toward_trustworthy_ai_development,15,15,14,9,14,13,13,93
trusting_ai_cybersecurity_empirical_study,15,15,0,10,0,10,0,50
understanding_ai_ethics_and_safety,15,15,15,10,14,14,13,96
ai_cybersecurity_growing_ethical_dilemma,15,14,15,9,15,14,13,95
